ref,Permission Type,Development Description,Scheme Name,Site Name,Primary Street Name,Post Code,EAST DULWICH,Permission Date,Date construction completed,Proposed Total Residential Units,Proposed Total Affordable Units,CashinLieuAffordableHousing
06-AP-1236,Full,"Amendments to the previously approved scheme ref: 03-AP-2314 (and legal agreement thereto) for the development of vacant land at 2-30 St James' Road to provide two buildings (each part-4/part-6) fronting St James' Road for 1 day nursery, 49 no flats for residential accommodation including affordable housing, 1 no administration office and basement for part residential, plant and storage.",Bermondsey Spa,"Bermondsey Spa Site J,  2-30",St James's Road,SE1,RIVERSIDE,28/09/2006,30/09/2008,49,9,
06-AP-1829,Full,"Erection of 2/3 storey building of nine residential units (1 bedroom) for residents with physical and sensory disabilities, including 2 disabled parking bays, 10 cycle storage spaces, a communal conservatory and gardens.",,1,Priter Road,SE16 4QW,RIVERSIDE,05/02/2007,30/04/2009,9,9,
07-AP-1124,Full,Demolition of  building and erection of an eight storey building plus basement comprising 40 flats and 762m² of commercial floorspace (A1/A2/A3/B1).,,44 - 46,Borough Road,SE1 0AJ,CATHEDRALS,15/08/2007,31/03/2011,40,9,
09-AP-1874,Full,"Erection of a part 4/part 7 storey development to provide 409sqm B1 space at ground floor with residential on upper floors comprising of 33 dwellings (6x1 bed, 16x2 bed and 11x3 bed) and 7 car parking spaces at ground floor and associated cycle store, energy store and refuse storag",,150,Spa Road,SE16 4RR,RIVERSIDE,24/11/2009,31/03/2012,33,9,0
10-AP-2429,Full,"Erection of 9 residential dwellings, 3 storeys in height (8x 4 bed and 1x 5 bed) at the former car park site on Alice Street; provision of vehicular access from Alice Street, 2 car parking spaces and storage for a total of 27 cycles; as well as hard and soft landscaping.",,Former Car Park,Alice Street,SE1 4QZ,CHAUCER,15/10/2010,31/03/2013,9,9,0
11-AP-2242,Full,"Demolition of existing buildings, and erection of 28 residential dwellings (6x1 bed; 13x2 bed; 9x3 bed) within a part three, part four storey building at the southern end of the site with associated car parking, cycle storage and amenity spaces. Erection of a new single storey community building (maximum height approximately 7 metres above ground) on the northern part of the site, accessed from Salter Road, providing general hall, meeting spaces and sports facilities, and a new flood-lit external sports pitch",,,Rotherhithe Street,SE16 5LJ,SURREY DOCKS,15/03/2012,08/02/2015,28,9,0
11-AP-2851,Full,"Redevelopment of the site involving the demolition of existing pre-fab bungalows and their replacement with a two storey terrace of 14 residential units (5 x 4 bed, 7 x 3 bed, and 2 x 1 bed units) with rear dormer windows and photovoltaic panels.",,Land Between 120-150,Ivydale Rd,SE15 3BT,NUNHEAD,01/12/2011,11/02/2014,14,9,
12-AP-1308,Full,"Demolition of existing buildings on site and redevelopment to provide mixed use premises with a maximum height of 6 storeys with set backs at 1st and 6th floors, providing 101 residential units (2 x studio units, 30 x 1 bed, 46 x 2 bed, 23 x 3 bed) and 1,335sqm of commercial uses within use Classes A1, A2, A3 and B1 at ground floor. Associated areas for cycle storage, disabled parking bays (4 spaces) and amenity space.",,1-6 And 307-311,Camberwell New Green,SE5,CAMBERWELL GREEN,08/10/2013,03/03/2017,101,9,"736,350"
12-AP-4049,Full,"Erection of a building fronting Blue Anchor Lane of between 4 and 7 storeys in height, to provide 37 residential units (1 x studio, 9 x 1 bed, 19 x 2 bed, 7 x 3 bed). Erection of 1 x 3 bed mews house fronting Bombay Street. Provision of eight car parking and 76 cycle parking spaces accessed from Bombay Street, provision of communal and private amenity space, and doorstep play space",,27-29,Blue Anchor Lane,SE16 3UL,SOUTH BERMONDSEY,19/04/2013,09/04/2016,37,9,
13-AP-2211,Full,"Alterations to the ground floor and part of the first floor of the Camberwell Station Road block (previously permitted as B1 office use) for it to be used as nine self-contained affordable rented units, alterations to existing windows and erection of balconies at first floor level to rear elevation and amendments to an existing s106 agreement pursuant to planning permission reference: 06-AP-2183",,,And At 69-91 Camberwell Station Road And 90-106 Warner Road,SE5,CAMBERWELL GREEN,09/04/2014,16/03/2016,9,9,
14-AP-0115,Full,"DEMOLITION OF THE EXISTING BUILDING AND ERECTION OF A PART 3, PART 4, STOREY BUILDING COMPRISING 22 RESIDENTIAL UNITS TOGETHER WITH BASEMENT CAR PARKING, LANDSCAPING AND WORKS INCIDENTAL TO THE DEVELOPMENT",,2-2a,Crystal Palace Road,SE22 9HB,EAST DULWICH,13/02/2015,03/03/2019,22,9,
03-AP-1799,Full,Convert church interior to 31 flats over 5 floors including crypt.,,Saint Augustine's Church,Lynton Road,SE1 5DP,SOUTH BERMONDSEY,18/03/2005,31/07/2007,31,8,
