ref,Permission Type,Development Description,Scheme Name,Site Name,Primary Street Name,Post Code,EAST DULWICH,Permission Date,Date construction completed,Proposed Total Residential Units,Proposed Total Affordable Units,CashinLieuAffordableHousing
14-AP-1872,Full,"REDEVELOPMENT OF THE SITE TO PROVIDE 122 RESIDENTIAL UNITS IN A NEW BUILDING FRONTING WOODS ROAD AND COSSALL PARK RANGING FROM 4-7 STOREY HIGH, A NEW 2-STOREY BUILDING AT THE REAR OF THE SITE AND PROVISION OF CAR PARKING, CYCLE PARKING AND AMENITY SPACE (USE CLASS C3)",,2-4,Woods Road,SE15 2PX,NUNHEAD,10/02/2015,17/08/2018,122,39,
15-AP-4072,Full,"Redevelopment of site to provide a part 6, part 7 and part 8 storey building comprising commercial units at ground and mezzanine level (Use Class B1) with 94 residential units above (Use Class C3) (39 x 1 bed, 39 x 2 bed and 16 x 3 bed), associated car and cycle parking, landscaping, gymnasium, podium garden at first floor level and other associated works.`O",,175-179,Long Lane,SE1 4PN,GRANGE,23/08/2017,01/02/2019,94,38,
08-AP-2411,Full,"Erection of 4 four storey blocks comprising 16 residential flats / maisonettes and a part eight, part nine storey block containing 21 flats (maximum 29.74m AOD).",,Bounded By,Townsend Street,SE17 1TQ,EAST WALWORTH,07/01/2009,01/04/2012,37,37,
16-AP-5055,Full,"Demolition of the existing buildings and redevelopment of the site to provide of 104 residential units of accommodation (3x4 bed, 18x3 bed,42x2 bed and 41x1 bed) in buildings ranging from 3 to 5 storeys in height,_x005F_x000D_
together with associated car parking, cycle parking and landscaping.",,"30-72 Lomond Grove, 1-12 Flecker House, 1-20",Broome Way,SE5,CAMBERWELL GREEN,12/05/2017,31/12/2018,104,37,
14-AP-0309,Full,"REDEVELOPMENT OF THE FORMER SURREY DOCKS STADUIM AND LAND ADJOINING COMPRISING DEMOLITION OF EXISTING BUILDINGS AND ERECTION OF 103 RESIDENTIAL DWELLINGS (USE CLASS C3) IN A SERIES OF BUILDINGS UP TO 4 STOREYS HIGH, ASSOCIATED CAR PARKING AND CYCLE PARKING, ALTERATIONS TO THE EXISTING VEHICULAR ACCESS, ENHANCEMENT TO EXISTING OPEN SPACE, ASSOCIATED LANDSCAPING, NEW PEDESTRIAN ACCESS/EGRESSM AND THE CREATION OF A NEW PUBLIC PARK WITH ASSOCIATED WORKS",,And Depot Adjacent To Staium,Salter Road,SE16,SURREY DOCKS,13/08/2014,10/10/2016,103,34,
06-AP-0394,Full,Erection of a 5 storey block of 15 flats on the corner of Silwood Road and Eugenia Road with 3 two storey houses fronting Silwood Street and 15 two and three storey houses fronting Eugenia Road together with associated parking (23 spaces) and landscaping. - REVISED APPLICATION,Silwood Estate,"Silwood Estate, Phase Iva, 94-156",Eugenia Road,SE16 2RA,LIVESEY,08/06/2006,31/03/2008,33,33,
03-AP-2417,Full,"Construction of part-4, part-5 & part-6 storey building for 32 flats with 12 car parking spaces, 20 cycle spaces at ground floor and associated amenity space, including roof terraces.",,82 - 86,Queen's Road,SE15 2QX,NUNHEAD,11/01/2006,17/02/2012,32,32,
07-AP-0020,Full,"Demolition of all buildings except main original 'Mary Datchelor School' fronting Camberwell Grove and '1926' building fronting Grove Lane; development comprising mix of studio, one, two and three bedroom apartments and three and four bedroom town houses providing total of 90 dwellings in six buildings (4 new build at two to four storeys, conversion of main School building, conversion of 926 building with extension at roof level), with basement car park for 45 vehicles accessed from Grove Lane. Planning (07-AP-0020) and Conservation Area Applications (07-AP-0024).",,"Former Mary Datchelor School Building, 17",Grove Lane,SE5 8RD,BRUNSWICK PARK,02/07/2007,30/06/2011,90,32,
03-AP-2420,Full,"Erection of part five, part six storey building for provision of 31 flats, 12 car parking spaces, 18 cycle spaces (vehicular access from Montpelier Road) and associated amenity space at rear ground & including roof terrace on main roof.",,101-113,Queens Road,SE15 2EZ,LIVESEY,11/01/2006,23/02/2011,31,31,
03-AP-0910,Full,"Construction of part 5/6/7/8-storey building ground floor dentist/pharmacy/ health centre, housing upper floors, basement/ground floors car parking.",Bermondsey Spa,Bermondsey Spa Site A,Grange Road,SE1,GRANGE,31/03/2005,31/03/2007,74,30,
03-AP-2370,Full,"Construct part 4/5 storey building of 8x 1-bed, 16x 2-bed, 5x 3 bed flats + rear gardens.",,7,Munton Road,SE17,EAST WALWORTH,09/03/2005,31/03/2007,29,29,
0100712,Outline,Use of part of site for residential development.,,"Highwood Barracks, 526-532",Lordship Lane,SE22,COLLEGE,22/08/2002,31/08/2007,107,28,
05-AP-1972,Full,Erection of four storey residential block of 28 units with parking and communal garden as amendment to permission 22/07/2005 [application 03-AP-1466],,316,Lynton Road,SE16 5DD,SOUTH BERMONDSEY,07/11/2006,15/01/2007,28,28,
06-AP-0341,Full,"Demolition of buildings and erect new (max 8 storey, 28 metres high) building comprising 89 dwellings, 776.5 sq.m of (Class B1), 563.3 sq.m of restaurant/bar (A3/A4), ancillary car parking (basement parking), amenity space and landscaping with  access from Bear Lane.",,"Land At Great Suffolk St Industrial Estate, 5-7",Bear Lane,SE1 0UH,CATHEDRALS,31/12/2007,30/07/2009,89,27,
06-AP-2272,Full,"Demolition of existing and redevelopment to for three buildings of five (18m) and seven (24m) storeys in height comprising 1105mï¿½ of floorspace for either A1, A2, A3, B1 or D1 Use Class and 90 flats (comprising 31 x 1 bed; 49 x 2 bed; 9 x 3 bed; 1 x 4 bed), plus car and cycle parking, amenity and public open space.",,Larnaca Works,Grange Walk,SE1 3EW,GRANGE,25/06/2007,28/02/2012,87,27,
12-AP-3563,Full,"Erection of two blocks of flats accommodating 27 flats (comprised of 'Gatebeck' a three storey building located to south west side of Pytchley Road, between Felbridge and Gatcombe House with 9 flats, being 3 x 2-bed, 6 x 3-bed, and 'Southdown' on north east side of Pytchley Road to east of Melbreak House, of four storeys with 18 flats, being 8 x 1-bed, 2 x 2-bed, 8 x 3-bed); and conversion of existing drying rooms across the Estate into 18 flats (12 x studio flats, 3 x 1-bed, 3 x 2-bed); (TOTAL 45 new flats in new build/conversion) and external landscaping work across the Estate as part of an overall regeneration programme; alterations to existing car parking areas in the proximity of the proposed new flats, and additional car parking to land adjacent to Wilton House and altered access and parking provision to Wheatland House.",East Dulwich Estate,Part Of East Dulwich Estate,Dog Kennel Hill,SE22,SOUTH CAMBERWELL,28/03/2013,12/12/2016,45,27,
13-AP-0966,Full,"Demolition of existing buildings and structures followed by the erection of a part 10/part 6 storey building comprising 86 residential units, five retail/commercial units totalling 451sqm (use classes A1-A5 and D1),  a reception area, ancillary cycle and disabled parking, private and public amenity space, basement and ancillary plant.",,169-173,Blackfriars Road,SE1 8ER,CATHEDRALS,21/10/2013,03/03/2016,86,27,
15-AP-2721,Full,"Demolition of the existing garages and redevelopment of the site to erect a part 3, part 5 and part 7 storey building to create 27 No. affordable residential (Class C3) units comprising a mix of 4 x one bed, 14 x two bed and 9 x three bedroom flats and associated landscaping works and provision of 3 No. car parking spaces",,Kipling Estate Garages,Weston Street,SE1 3RL,GRANGE,19/10/2016,01/08/2018,27,27,
05-AP-0933,Full,Demolition of existing building and construction of a 3 storey building of 26 flats (12 x 1 bed & 14 x 2 bedrooms) with associated car/cycle parking and external works (amended application with changes to external appearance).,,300,Ivydale Road,SE15 3DG,PECKHAM RYE,11/05/2006,31/03/2008,26,26,
06-AP-1201,Full,"Amendments to scheme ref 04-AP-0549 during construction to the Salmon Youth Centre Site for Phase 2 only, additional 6 flats (26 in total), reduced height from 9 to 8 storeys, variation of legal agreement thereto.",,"Salmon Youth Centre,  43",Old Jamaica Road,SE16 4TE,RIVERSIDE,29/09/2006,30/05/2010,26,26,
09-AP-0068,Full,"Demolition of existing vacant building and development of 26 flats, part four/part three storey ( 3 x 4 bed, 3 x 3 bed, 12 x 2 bed, 8 x 1 bed) with associated hard and soft landscaping, parking and refuse facilities.",,38,St Mary's Road,SE15 2DW,NUNHEAD,27/04/2009,01/09/2011,26,26,
0200357,Full,"Erection of buildings incorporating offices, 10 live/work units, 103 flats (including 25 affordable) with another building for offices.",,Former Printing Works,Steedman Street,SE17,NEWINGTON,24/11/2003,30/06/2006,113,25,
03-AP-0878,Full,"Part 5/6 storey building for offices on part ground to 4th floors and 99 flats at part ground to fifth floor level (incl 23 affordable), 75 p.s.",,98-118,Southwark Bridge Road,SE1,CATHEDRALS,20/12/2004,30/06/2007,99,25,
06-AP-2183,Full,Redevelopment for 83 residential units and 1663m2  B1 (office) floorspace in three  buildings  between 3 storeys (9m) and 6 storeys (18.5m); communal open space; basement parking and bicycle storage.,,69 - 91,Camberwell Station Road,SE5 9JZ,CAMBERWELL GREEN,06/07/2007,06/06/2015,83,25,
08-AP-0685,Full,"Demolition of building and erection of a residential development comprising 25 units in the form of front and rear terrace: front terrace on ground, first, second and third floors and rear terrace on ground, first and second floors (second floor within roofspace); underground parking providing 11 spaces and 4 additional spaces fronting Gordon Road; associated cycle storage and amenity areas.",,187 - 189,Gordon Road,SE15 3RT,THE LANE,16/06/2008,31/03/2010,25,25,
09-AP-0717,Full,"Erection of building of 5 storeys in connection with provision of ground floor commercial unit (within A1 use class) and residential use on ground and upper floors, comprising 37 residential units (mix of 9 x 1 bed, 24 x 2 bed, 3 x 3 bed, and 1 x 4 bed flats including 3 wheelchair accessible flats and two on-site car parking spaces.",,316-322,Camberwell New Road,SE5,CAMBERWELL GREEN,29/10/2009,18/09/2012,37,25,
10-AP-2725,Full,"Demolition of existing building on the site and the erection of a part 4 storey/ part 6 six storey building to provide 25 residential units, provision of vehicular access, car parking and cycle parking, works of hard and soft landscaping and other incidental and enabling works associated with the development.",,Former Whistable Day Nursery,Stevens Street,SE1 3BX,GRANGE,23/12/2010,31/03/2013,25,25,0
06-AP-0322,Full,"1) Amendments during construction to  scheme (ref 04-AP-2189) for new entrance from Sun Passage by removing 1 unit at ground level, extension of northern elevation of penthouse block at 7th floor to create an additional residential unit, increased number of units from 42 to 44 to provide 29 x 1 bed room units; 15 x 2 bed units and incorporate above scheme into Phase 1 development (Site E east) approved under Refs. 04-AP-0102 (outline consent) and 04-AP-2190 (approval of reserved matters).",,"Rising Sun P.H.,  72-74",Old Jamaica Road,SE16 4TF,RIVERSIDE,21/09/2006,30/03/2009,44,24,
09-AP-1098,Full,"Demolition of existing buildings and erection of a mixed use development comprising two 5-storey buildings to provide for 856 sqm of commercial floorspace (use classes A1-A5) at ground floor level, and 48 residential units (12 x 1 bed, 9 x 2 bed 3 person, 19 x 2 bed 4 person and 8 x 3 bed) above, cycle and car parking, amenity space and ancillary plant and equipment",Bermondsey Spa,"Bermondsey Spa Site G, 82-118",Spa Road,SE16 3QT,GRANGE,17/09/2009,01/01/2015,48,24,0
12-AP-2444,Full,"Demolition of existing buildings and erection of two buildings, one at 286-304 Camberwell Road (blocks A & B) ranging in height from four to seven storeys comprising 616 sqm of commercial floorspace (Use Classes A1 shops, A2 financial/professional services, B1 business and/or D1 non-residential institutions) and 57 residential units (26 x 1 bed, 26 x 2 bed and 5 x 3 bed) plus 5 disabled car parking spaces, the other at 272-274 Camberwell Road and Medlar Street (blocks C & D) ranging in height from three to four storeys and comprising 62 sqm of commercial floorspace (Use Classes A1, A2, B1 and/or D1) and nine residential units (3 x 3 bed and 6 x 4 bed), and with balconies, terraces, gardens and / or communal amenity space and roof garden, bicycle spaces, refuse/recycling storage and access. (Total 678sqm of commercial floorspace (Use Classes A1, A2, B1 and/or D1) and 66 residential units (26 x 1 bed, 26 x 2 bed, 8 x 3 bed and 6 x 4 bed))",,272-274,Camberwell Road,SE5,CAMBERWELL GREEN,28/11/2012,09/09/2018,66,24,
0201197,Full,"Redevelopment to provide 99 flats, 3 live/work units and 2,054m2 studio space, with basement parking.",,"Castle House, 1-27",Sumner Road,SE15,PECKHAM,03/07/2003,30/06/2006,102,23,
09-AP-0841,Full,"Erection of building of five storeys on Crawford Rd, and part five, part four and part two storeys fronting Coldharbour Lane, and removal of one cherry tree protected by a Tree Preservation Order, in connection with residential development of 23 units (10 x one bedroom, 6 x two bedroom and 7 x three bedroom) and associated car parking. The proposal includes development on part of the existing public highway (footpath) on Coldharbour Lane.",,67,Crawford Road,SE5 9NF,CAMBERWELL GREEN,30/11/2009,31/12/2011,23,23,0
09-AP-2003,Full,"Retention of existing partially developed building together with alterations to and completion of upper floors to provide 1,266.23 sqm of commercial floorspace and 90 flats (52 x 1 bed, 32 x 2 bed, 6 x 3 bed). Amendments to original applications referenced 03-AP-2150 and 07-EN-0391.",,41,Maltby Street,SE1 3PA,GRANGE,22/12/2009,30/09/2011,90,23,0
10-AP-1860,Full,"Demolition of existing building and the erection of a building of up six storeys to provide 23 residential units, provision of vehicular access, car parking and cycle parking, works of hard and soft landscaping and other enabling works associated with the development.",,70,Abbey Street,SE1 3NJ,GRANGE,18/10/2010,31/03/2013,23,23,0
14-AP-0764,Full,"ERECTION OF TWO NEW BUILDINGS, THE FIRST FRONTING ON HAVIL STREET BEING UP TO FIVE STOREYS IN HEIGHT, WITH THE SECOND FRONTING ONTO SOUTHAMPTON WAY AND BEING UP TO FOUR STOREYS IN HEIGHT TOGETHER COMPRISING 24 RESIDENTIAL UNITS X10 ONE-BED, X11 TWO-BED AND X3 THREE-BED) WITH ASSOCIATED BALCONIES AND TERRACES, WIDER LANDSCAPING AND CYCLE/REFUSE STORAGE",,184-188,Southampton Way,SE5 7EU,BRUNSWICK PARK,31/10/2014,04/04/2017,24,23,
05-AP-2342,Full,"Demolish of single storey workshop and erect 5 storey building of 22 flats (6 x 3 bed, 9 x 2 bed &  7 x 1 bed) and a Class B1 business unit.",,45 (45b),Urlwin Street,SE5 0NF,CAMBERWELL GREEN,11/09/2006,30/06/2009,22,22,
11-AP-1097,Full,"Application to extend the time limit by a further 3 years to implement existing planning permission 08-AP-0337 dated 10th September 2008 for the construction of a nine storey building (with top two floors set back) for mixed use purposes comprising business use on the ground and first floors, a restaurant on the ground floor and 71 residential units on the upper floors with associated access, servicing, car parking and landscaping",,Tavern Quay Commercial Centre,Rope Street,SE16 7TX,SURREY DOCKS,30/03/2012,10/10/2016,75,22,
11-AP-1180,Full,"The demolition of existing buildings and the construction of a six storey plus basement building fronting onto Old Kent Road with 283sqm of floorspace at ground floor level for any use within Class A1/A2//A3/A5/B1 and/or D1 with residential above, a series of three residential buildings at the southern end of the site at five storeys, and a four storey residential building fronting Ossory Road, all to provide a total of 85 residential units. Provision of vehicular access from Ossory Road, servicing bay, basement car parking, landscaping, open space and refuse/recycling facilities.",,434 - 452,Old Kent Road,SE1 5AG,EAST WALWORTH,16/08/2011,02/02/2015,85,22,
12-AP-1485,Full,"Residential development of 22 units (3x4 bed, 6x3 bed, 11x2 bed and 2x1 bed) arranged in three blocks comprising two rows of houses and one three storey block of flats with associated car parking for 2 cars, 31 cycle spaces and outdoor amenity space (Class C3).|",,16-20,Roseberry Street,SE16 3LZ,SOUTH BERMONDSEY,20/09/2012,03/03/2015,22,22,
0001465,Full,Construction of part 3 part 4 storey block to provide 21 flats.,,Land Onto And Between,Wells Way,SE15,PECKHAM,07/02/2001,30/04/2006,21,21,
06-AP-2341,Full,Alterations in course of construction re demolition of petrol stn for 5 storey building of 20 flats with 2x A1 units on ground floor + 10 parking spaces [ref 05-ap-1778] for additional flat at 3rd floor level.,,"New Cross Service Station,  814",Old Kent Road,SE15 1NQ,LIVESEY,13/06/2007,30/01/2009,21,21,
07-AP-2588,Details/Reserve Matters,"Reserved Matters application for external appearance, internal layout, and access to buildings, following  Outline Planning Permission dated 4 May 2007 (05-AP-2539) for the erection of an eight storey building comprising 63 dwellings and 165.9sqm of Class A1 (retail) and 359.6sqm B1(office/commercial) accommodation",,"Site B1, Canada Water",Surrey Quays Road,SE16 2BY,ROTHERHITHE,25/01/2008,30/06/2009,63,21,
08-AP-1480,Full,"Demolition of existing buildings and erection of a 6 storey building for mixed use, comprising 436sqm of ground floor commercial floorspace within office/retail/financial or professional services/cafe/restaurant use, (Use Class B1/ A1 /A2/ A3), and 21 self contained flats (7 one bedroom, 4 two bedroom and 10 three bedroom flats) on the upper floors with associated private amenity space, servicing, car and cycle parking spaces, and refuse storage.",,134,New Kent Road,SE1 6TY,EAST WALWORTH,02/11/2009,31/03/2012,21,21,0
08-AP-1744,Full,"Demolition of existing buildings in connection with the redevelopment of the site to provide 5 x 3 bed three-storey terraced houses fronting Blue Anchor Lane, and a six-storey building fronting Bombay Street to provide 4 B1 commercial units at ground floor level and 16 flats (4 x 1 bed, 5 x 2 bed, 5 x 3 bed and 2 x 4 bed) on upper floors, with associated car and cycle parking facilities (total 21 residential units; 3 car-parking, 32 cycle-parking and 2 car-club spaces).",,41-47,Blue Anchor Lane,SE16 3UL,SOUTH BERMONDSEY,16/07/2009,28/02/2012,21,21,0
08-AP-3078,Full,Redevelopment of site:erection of a part three and part four storey building to provide 21 flats (Use Class C3).,,Land At Junction Of,Chesterfield Way,SE15 2LL,NUNHEAD,06/04/2009,20/05/2011,21,21,0
12-AP-3255,Full,"Demolition of the existing temporary residential accommodation buildings (sui generis use) and replacement with a part 3 storey, part 4 storey building for temporary residential accommodation (sui generis use) fronting Willow Walk and Alscot Way comprising 54 bedrooms with shared kitchen and communal facilities. Construction of a 4 storey building to provide 21 units of affordable housing (8 x 1 bed, 8 x 2 bed and 5 x 3 bed) fronting Setchell Road, together with a new street through the site, car parking, public open space and ancillary cycle and refuse facilities and associated development.",,6,Willow Walk,SE1,GRANGE,05/04/2013,09/09/2015,21,21,
14-AP-0117,Full,"DEMOLITION OF FORMER SOUTHWARK COUNCIL HOUSING OFFICE AND THE CONSTRUCTION OF A PART 4, PART 6 STOREY BUILDING COMPRISING 21 SOCIAL RENTED DWELLINGS, ONE COMMERCIAL UNIT FOR CLASS A1, A2, A3 (RETAIL, SERVICES OR CAFE/RESTAURANT) OR CLASS B1 (OFFICE) USE INCLUDING ASSOCIATED HIGHWAYS AND LANDSCAPING WORKS, STREET TREE PLANTING AND THE PROVISION OF X3 OFFSTREET CAR PARKING BAYS",,169,Long Lane,SE1 4PN,GRANGE,16/04/2014,06/06/2016,21,21,
14-AP-3276,Full,"DEMOLITION OF EXISTING BUILDINGS TO FACILITATE THE REDVELOPMENT OF THE SITE AND THE PROVISION OF 54 RESIDENTIAL UNITS OF ACCOMMODATION (X4 FOUR BED, X15 THREE BED, X18 TWO BED, X17 ONE BED) IN BUILDINGS RANGING FROM 3-4 STOREYS IN HEIGHT, TOGETHER WITH ASSOCIATED CAR PARKING, CYCLE PARKING AND LANDSCAPING.",,"Land At Camberwell Housing Office,",Harris Street,SE5,CAMBERWELL GREEN,31/03/2015,08/08/2018,54,21,
04-AP-0246,Full,Erection of part 3/ 16 storey building comprising 68 flats with 65 parking spaces in the basement and at ground floor level (Duplicate).,,"Block F, Metro Central Heights, 119",Newington Causeway,SE1 6BA,CHAUCER,05/04/2005,09/10/2008,68,20,
04-AP-0760,Full,Redevelopment of site to provide a six storey building with retail use on the ground floor and 20 flats above.,,175-181,Rotherhithe New Road,SE16 2BE,LIVESEY,01/07/2005,31/07/2007,20,20,
04-AP-1235,Full,"Construction of 8x1 bed 2 person, 12x2-bed / 3 & 4 person flats, 8 p.s. etc.",,160,Queen's Road,SE15 2HP,NUNHEAD,18/03/2005,31/12/2006,20,20,
04-AP-2117,Full,"Demolish 100 Union Street, construct 3x 4/5/7/12 storey buildings for 85 flats incl 20 affordable flats, B1 business space, A1/A3 shop/cafe, plus 31 residential parking spaces, 114 cycle spaces.",,100-142,Union Street,SE1 0NL,CATHEDRALS,14/11/2005,02/05/2014,85,20,
05-AP-1964,Full,"Three storey extension to block of flats and refurbishment, convert from 24 to 20 units (14x 2 bed, 6x 3 bedroom).",,"Ayston House,  Rotherhithe Estate",Plough Way,SE16 2LU,SURREY DOCKS,21/12/2005,31/03/2007,20,20,
11-AP-2012,Full,"Demolition of existing building and erection of a building (with basement) up to eight storeys in height (maximum 28.50m at corner) fronting Marshalsea Road and Borough High Street comprising office / retail floorspace (Class B1 / Class A use) and 96 residential units; erection of a four storey mews building to the rear (13.10m) comprising 4 residential units; provision of open space with ancillary plant, car parking and servicing, works of hard and soft landscaping and new pedestrian access to Borough High Street together with other associated and enabling works",,"Brandon House, 180",Borough High Street,SE1 1LW,CATHEDRALS,13/09/2013,01/08/2018,97,20,
14-AP-2709,Full,"DEMOLITION OF EXISTING BUILDINGS (SUI GENERIS) AND REDEVELOPMENT TO PROVIDE A PART 3/4//5/7 STOREY DEVELOPMENT COMPRISING 55 FLATS (X9 ONE BED, X7 THREE BED) (USE CLASS C3), 305SQM RETAIL FLOOR SPACE (USE CLASS A1/A2/A3), ASSOCIATED DISABLED CAR PARKING AND AMENITY SPACE AND REPLACEMENT SUBSTATION",,2-16,Amelia Street,SE17 3PY,NEWINGTON,30/03/2015,01/08/2018,55,20,
03-AP-1848,Full,"Demol pre-fabs for 3-storey block of 6x flats;pt 3/4-sty terrace 5x 4-bed houses, 14x flats, 10 p.s.",,Land Bounded By,Underhill Road,SE22 0AW,EAST DULWICH,18/03/2005,31/07/2006,19,19,
04-AP-2114,Full,"Build 31 mixed tenure flats in 4/5/6 storey blocks, one multi use commercial unit in Block D, Blocks A to C all resid.",,14-26,Wansey Street,SE17,EAST WALWORTH,10/02/2005,31/10/2006,31,19,
12-AP-2702,Full,"Demolition of existing warehouse building and construction of buildings ranging in height from 4 storeys to 6 storeys, plus basement, to provide 82 residential units with landscaping, refuse/recycling facilities, cycle storage and car parking, access and associated works",,"Marshall House, 6",Pages Walk,SE1 4SB,GRANGE,11/12/2012,06/11/2017,86,19,
13-AP-3791,Full,"Demolition of 1, 3-5 Valentine Place and 27-31 Webber Street and part demolition of 7-19 Valentine Place and 21 Webber Street (facades retained). Redevelopment of the site to provide 62 residential units (max 7 storeys), 3854sqm Class B1 (business) and 138sqm A1/A3 (retail and food and drink) floorspace, together with landscaping and car parking.",,"1, 3-5, 7-19",Valentine Place,SE1 8QH,CATHEDRALS,25/09/2014,03/03/2017,61,19,"500,000"
15-AP-2217,Full,"DEMOLITION OF EXISTING BUILDING AND REDEVELOPMENT OF SITE TO PROVIDE A MIXED-USE BUILDING RANGING FROM 4 TO 7 STOREYS PLUS BASEMENT COMPRISING 94 RESIDENTIAL UNITS (USE CLASS C3) AND FLEXIBLE COMMERICIAL FLOORSPACE (USE CLASSES A1, A2, A3, A4, B1, D2) ASSOCIATED HIGHWAY, PUBLIC REALM AND LANDSCAPING WORKS, CAR AND CYCLE PARKING AND ASSOCIATED WORKS",,24-28,Quebec Way,SE16 7LF,SURREY DOCKS,04/03/2016,07/08/2018,94,19,
